,FIELD_13
0,BX
1,AB
2,HG
3,TA
4,NU
5,EE
6,HR
7,A6
8,FG
9,SQ
10,NF
11,NM
12,BJ
13,TL
14,QG
15,QJ
16,BG
17,SC
18,SL
19,NW
20,FV
21,QH
22,A1
23,EB
24,TH
25,DI
26,QQ
27,T5
28,HF
29,BK
30,HZ
31,BQ
32,NX
33,FU
34,4
35,BU
36,QL
37,SB
38,TI
39,EN
40,T9
41,NZ
42,EP
43,DZ
44,SP
45,T2
46,FI
47,SJ
48,QM
49,FX
50,FO
51,8
52,BD
53,QF
54,NJ
55,TZ
56,NN
57,HA
58,DB
59,SR
60,FQ
61,KX
62,0
63,AA
64,HT
65,TU
66,QZ
67,AY
68,ST
69,FY
70,H2
71,AS
72,QX
73,NB
74,SD
75,FK
76,HU
77,H7
78,TQ
79,IA
80,DW
81,T7
82,BH
83,YA
84,NE
85,EF
86,QP
87,IS
88,IC
89,KT
90,HE
91,FS
92,CD
93,EA
94,F1
95,AL
96,AI
97,YV
98,TK
99,T3
100,HY
101,BA
102,AR
103,NQ
104,SH
105,F4
106,TR
107,HD
108,BW
109,FL
110,SG
111,FD
112,TS
113,QD
114,BP
115,CB
116,TO
117,TE
118,SY
119,YF
120,EI
121,SO
122,FN
123,HW
124,DL
125,CH
126,HJ
127,AH
128,H3
129,TT
130,HS
131,B2
132,FJ
133,NV
134,AD
135,FM
136,SX
137,AQ
138,HB
139,DA
140,TF
141,QE
142,CG
143,DE
144,ED
145,DQ
146,HI
147,QA
148,SV
149,SK
150,TW
151,HK
152,DG
153,SE
154,EU
155,AP
156,CA
157,SU
158,FA
159,SN
160,HP
161,ZA
162,FH
163,BM
164,QB
165,NI
166,T1
167,N7
168,TD
169,QK
170,HQ
171,AC
172,SS
173,GB
174,EL
175,NT
176,TX
177,TM
178,H1
179,DT
180,DH
181,CR
182,CJ
183,NP
184,EK
185,NC
186,HN
187,CE
188,CZ
189,FB
190,EH
191,H5
192,QI
193,TB
194,BT
195,TY
196,BB
197,FT
198,DD
199,TN
200,BI
201,NY
202,TJ
203,FE
204,DM
205,A2
206,NH
207,12
208,HH
209,FC
210,YN
211,SI
212,SA
213,HX
214,QO
215,BN
216,NL
217,QW
218,FF
219,AE
220,TC
221,HV
222,EJ
223,E2
224,SZ
225,SF
226,SM
227,DF
228,TP
229,BO
230,HM
231,DC
232,QC
233,AO
234,FP
235,HO
236,NO
237,KC
238,NK
239,QU
240,BE
241,FR
242,EG
243,HC
244,TV
245,CL
246,ND
247,NG
248,CC
249,HL
250,QS
251,TG
252,CK
