id,huyen
0,ba dinh
1,hoan kiem
2,tay ho
3,long bien
4,cau giay
5,dong da
6,hai ba trung
7,hoang mai
8,thanh xuan
9,soc son
10,dong anh
11,gia lam
12,nam tu liem
13,thanh tri
14,bac tu liem
15,me linh
16,ha dong
17,son tay
18,ba vi
19,phuc tho
20,dan phuong
21,hoai duc
22,quoc oai
23,thach that
24,chuong my
25,thanh oai
26,thuong tin
27,phu xuyen
28,ung hoa
29,my duc
30,ha giang
31,dong van
32,meo vac
33,yen minh
34,ba
35,vi xuyen
36,bac me
37,hoang su phi
38,xin man
39,bac quang
40,quang binh
41,cao bang
42,bao lam
43,bao lac
44,thong nong
45,ha quang
46,tra linh
47,trung khanh
48,ha lang
49,quang uyen
50,phuc hoa
51,hoa an
52,nguyen binh
53,thach an
54,bac kan
55,pac nam
56,ba be
57,ngan son
58,bach thong
59,cho don
60,cho moi
61,na ri
62,tuyen quang
63,lam binh
64,na hang
65,chiem hoa
66,ham yen
67,yen son
68,son duong
69,lao cai
70,bat xat
71,muong khuong
72,si ma cai
73,bac ha
74,bao thang
75,bao yen
76,sa pa
77,van ban
78,dien bien phu
79,muong lay
80,muong nhe
81,muong cha
82,tua chua
83,tuan giao
84,dien bien
85,dien bien dong
86,muong ang
87,nam po
88,lai chau
89,tam duong
90,muong te
91,sin ho
92,phong tho
93,than uyen
94,tan uyen
95,nam nhun
96,son la
97,quynh nhai
98,thuan chau
99,muong la
100,bac yen
101,phu yen
102,moc chau
103,yen chau
104,mai son
105,song ma
106,sop cop
107,van ho
108,yen bai
109,nghia lo
110,luc yen
111,van yen
112,mu cang chai
113,tran yen
114,tram tau
115,van chan
116,yen binh
117,hoa binh
118,da bac
119,luong son
120,kim boi
121,cao phong
122,tan lac
123,mai chau
124,lac son
125,yen thuy
126,lac thuy
127,thai nguyen
128,song cong
129,dinh hoa
130,phu luong
131,dong hy
132,vo nhai
133,dai tu
134,pho yen
135,phu binh
136,lang son
137,trang dinh
138,binh gia
139,van lang
140,cao loc
141,van quan
142,bac son
143,huu lung
144,chi lang
145,loc binh
146,dinh lap
147,ha long
148,mong cai
149,cam pha
150,uong bi
151,binh lieu
152,tien yen
153,dam ha
154,hai ha
155,ba che
156,van don
157,dong trieu
158,quang yen
159,co to
160,bac giang
161,yen the
162,tan yen
163,lang giang
164,luc nam
165,luc ngan
166,son dong
167,yen dung
168,viet yen
169,hiep hoa
170,viet tri
171,phu tho
172,doan hung
173,ha hoa
174,thanh ba
175,phu ninh
176,yen lap
177,cam khe
178,tam nong
179,lam thao
180,thanh son
181,thanh thuy
182,tan son
183,vinh yen
184,phuc yen
185,lap thach
186,tam duong
187,tam dao
188,binh xuyen
189,yen lac
190,vinh tuong
191,song lo
192,bac ninh
193,yen phong
194,que vo
195,tien du
196,tu son
197,thuan thanh
198,gia binh
199,luong tai
200,hai duong
201,chi linh
202,nam sach
203,kinh mon
204,kim thanh
205,thanh ha
206,cam giang
207,binh giang
208,gia loc
209,tu ky
210,ninh giang
211,thanh mien
212,hong bang
213,ngo quyen
214,le chan
215,hai an
216,kien an
217,do son
218,duong kinh
219,thuy nguyen
220,an duong
221,an lao
222,kien thuy
223,tien lang
224,vinh bao
225,cat hai
226,bach long vi
227,hung yen
228,van lam
229,van giang
230,yen my
231,my hao
232,an thi
233,khoai chau
234,kim dong
235,tien lu
236,phu cu
237,thai binh
238,quynh phu
239,hung ha
240,dong hung
241,thai thuy
242,tien hai
243,kien xuong
244,vu thu
245,phu ly
246,duy tien
247,kim bang
248,thanh liem
249,binh luc
250,ly nhan
251,nam dinh
252,my loc
253,vu ban
254,y yen
255,nghia hung
256,nam truc
257,truc ninh
258,xuan truong
