,tinh
0,thanh pho ha noi
1,tinh ha giang
2,tinh cao bang
3,tinh bac kan
4,tinh tuyen quang
5,tinh lao cai
6,tinh dien bien
7,tinh lai chau
8,tinh son la
9,tinh yen bai
10,tinh hoa binh
11,tinh thai nguyen
12,tinh lang son
13,tinh quang ninh
14,tinh bac giang
15,tinh phu tho
16,tinh vinh phuc
17,tinh bac ninh
18,tinh hai duong
19,thanh pho hai phong
20,tinh hung yen
21,tinh thai binh
22,tinh ha nam
23,tinh nam dinh
24,tinh ninh binh
25,tinh thanh hoa
26,tinh nghe an
27,tinh ha tinh
28,tinh quang binh
29,tinh quang tri
30,tinh thua thien hue
31,thanh pho da nang
32,tinh quang nam
33,tinh quang ngai
34,tinh binh dinh
35,tinh phu yen
36,tinh khanh hoa
37,tinh ninh thuan
38,tinh binh thuan
39,tinh kon tum
40,tinh gia lai
41,tinh dak lak
42,tinh dak nong
43,tinh lam dong
44,tinh binh phuoc
45,tinh tay ninh
46,tinh binh duong
47,tinh dong nai
48,tinh ba ria - vung tau
49,thanh pho ho chi minh
50,tinh long an
51,tinh tien giang
52,tinh ben tre
53,tinh tra vinh
54,tinh vinh long
55,tinh dong thap
56,tinh an giang
57,tinh kien giang
58,thanh pho can tho
59,tinh hau giang
60,tinh soc trang
61,tinh bac lieu
62,tinh ca mau
63,
